ps_partkey,value
70,798921.96
43,739115.18
94,669057.81
82,659609.75
1,623417.60
20,622688.46
50,597387.98
62,593117.86
53,578406.00
66,535460.66
12,527524.36
80,519587.67
15,511109.84
3,494280.88
8,456146.92
27,456042.40
90,409823.05
33,391165.58
57,377951.16
98,375448.50
14,341901.00
2,336127.77
39,327679.80
67,308091.60
40,294170.24
99,294022.10
97,293182.50
44,291017.14
64,290054.00
30,286403.04
92,277551.18
91,273273.32
21,263510.36
25,261055.90
19,221494.78
68,213041.64
38,213025.08
37,212113.98
89,211821.76
35,207129.26
52,199339.65
85,182805.48
74,181278.48
93,178589.76
83,169665.48
10,167023.68
28,150572.52
31,139568.75
6,134555.68
34,130124.16
51,123438.15
65,111770.19
9,109345.68
26,95557.12
75,88432.82
46,85491.00
88,74397.24
18,74158.92
71,62773.74
69,61141.95
36,57833.16
72,47065.48
77,44526.12
11,44148.96
56,43389.84
29,41400.96
84,37797.12
7,33434.10
4,26940.69
58,24344.00
100,23220.01
49,22286.00
45,21562.66
16,18769.14
76,12616.89
96,12494.43
32,11796.12
24,10998.24
61,8686.60
22,8130.08
47,5733.52
81,4231.50
5,3831.72
13,2969.20
73,2834.56
95,2289.87
48,2094.16
