p_brand,p_type,p_size,supplier_cnt
Brand#22,LARGE ANODIZED BRASS,19,5
Brand#24,ECONOMY ANODIZED BRASS,14,5
Brand#42,SMALL ANODIZED BRASS,14,5
Brand#43,NULL,45,5
Brand#52,NULL,19,5
Brand#53,NULL,19,5
Brand#11,NULL,49,4
Brand#23,PROMO ANODIZED BRASS,9,4
Brand#55,MEDIUM ANODIZED BRASS,36,4
Brand#21,NULL,14,3
Brand#23,PROMO ANODIZED BRASS,49,3
Brand#34,ECONOMY ANODIZED BRASS,45,3
Brand#34,LARGE ANODIZED BRASS,45,3
Brand#53,LARGE ANODIZED BRASS,45,3
Brand#55,PROMO ANODIZED BRASS,14,3
Brand#14,STANDARD ANODIZED BRASS,23,1
Brand#23,STANDARD PLATED BRASS,45,1
Brand#43,PROMO PLATED COPPER,45,1
Brand#53,PROMO BRUSHED COPPER,3,1
