1,38,4,568,997.00,4965.67,0.03,0.05,N,P,1993-08-04,1997-01-17,1997-10-20,DELIVER IN PERSON,RAIL,awful
1,89,2,752,383.00,4685.95,0.10,0.07,N,O,1997-03-06,1994-03-13,1996-09-13,TAKE BACK RETURN,MAIL,marvelous
1,39,5,1057,896.00,4452.29,0.07,0.06,R,O,1996-03-27,1994-12-27,1995-08-30,NONE,AIR,lousy
1,74,3,1248,76.00,7817.52,0.10,0.05,A,F,1995-07-06,1993-03-25,1998-12-10,NONE,SHIP,superb
1,69,2,1493,713.00,8095.71,0.02,0.03,R,O,1997-03-22,1995-01-03,1994-08-13,DELIVER IN PERSON,REG AIR,awesome
1,58,5,1662,523.00,1411.82,0.09,0.02,A,O,1997-03-03,1996-09-03,1994-07-07,DELIVER IN PERSON,RAIL,horrible
1,52,1,1886,908.00,6793.04,0.00,0.00,A,P,1998-01-12,1997-09-25,1996-03-14,TAKE BACK RETURN,RAIL,awesome
1,72,5,2112,414.00,4951.15,0.05,0.02,R,O,1997-07-11,1993-12-09,1996-07-04,DELIVER IN PERSON,REG AIR,atrocious
1,35,1,2334,511.00,6304.93,0.08,0.07,A,O,1998-05-12,1996-07-20,1994-06-15,COLLECT COD,SHIP,awesome
1,20,2,2459,85.00,6053.24,0.09,0.02,N,O,1995-08-02,1993-07-05,1997-11-23,TAKE BACK RETURN,SHIP,bad
2,6,3,336,643.00,4754.53,0.10,0.04,A,F,1993-01-09,1993-04-24,1996-01-07,DELIVER IN PERSON,SHIP,crummy
2,10,3,545,154.00,3597.40,0.02,0.05,R,O,1993-04-26,1997-06-11,1993-09-17,NONE,FOB,horrible
2,9,5,1277,48.00,5733.54,0.02,0.07,R,F,1998-12-05,1998-02-08,1997-10-07,NONE,MAIL,bad
2,25,5,1656,350.00,4504.03,0.01,0.06,A,O,1997-03-20,1997-12-22,1997-09-02,DELIVER IN PERSON,SHIP,marvelous
2,4,4,1664,163.00,7982.81,0.04,0.00,A,P,1994-05-21,1998-05-09,1997-07-27,DELIVER IN PERSON,AIR,wonderful
2,73,2,1742,381.00,9377.18,0.01,0.04,A,P,1994-02-24,1998-10-18,1995-03-10,DELIVER IN PERSON,AIR,awesome
3,57,5,817,397.00,9832.47,0.04,0.07,R,F,1996-10-16,1996-12-08,1993-01-11,NONE,FOB,bad
3,42,2,971,659.00,6814.42,0.06,0.06,N,O,1994-04-20,1994-03-26,1995-08-02,TAKE BACK RETURN,RAIL,bad
3,95,3,1885,986.00,2494.22,0.07,0.01,R,F,1996-07-20,1994-12-02,1997-07-24,DELIVER IN PERSON,FOB,poor
3,35,3,2369,921.00,5829.83,0.10,0.04,A,P,1996-12-06,1995-08-23,1997-11-21,COLLECT COD,RAIL,horrendous
4,31,4,1516,581.00,1340.12,0.01,0.02,A,O,1995-06-23,1994-10-14,1996-01-22,NONE,FOB,super
5,69,1,1923,514.00,9211.21,0.00,0.02,A,F,1997-03-15,1996-12-27,1995-07-30,TAKE BACK RETURN,SHIP,wonderful
5,4,1,2152,181.00,8008.70,0.07,0.07,R,O,1997-01-19,1994-06-21,1994-02-01,TAKE BACK RETURN,RAIL,wonderful
6,76,5,1499,650.00,8614.37,0.02,0.02,R,P,1995-01-30,1995-08-20,1993-06-04,NONE,RAIL,fabulous
6,62,3,1828,288.00,6893.46,0.05,0.08,R,F,1996-12-04,1994-10-01,1995-09-23,DELIVER IN PERSON,MAIL,marvelous
7,79,2,1199,657.00,3048.22,0.06,0.06,N,O,1993-06-08,1997-05-14,1996-11-18,TAKE BACK RETURN,FOB,superb
7,42,1,2252,710.00,113.69,0.06,0.07,A,P,1998-04-20,1998-03-15,1997-03-12,NONE,SHIP,fabulous
8,53,5,207,218.00,8186.01,0.10,0.06,N,P,1994-09-13,1993-09-14,1997-01-28,DELIVER IN PERSON,SHIP,horrendous
8,41,5,779,342.00,7864.81,0.05,0.06,R,F,1997-07-03,1998-11-25,1993-03-21,DELIVER IN PERSON,AIR,poor
8,15,2,2122,975.00,1658.99,0.04,0.03,N,F,1998-05-28,1998-02-23,1997-01-19,COLLECT COD,FOB,wonderful
8,99,4,2347,721.00,405.76,0.09,0.00,A,F,1998-12-23,1997-06-27,1994-03-24,TAKE BACK RETURN,MAIL,good
8,8,3,2510,496.00,6083.14,0.04,0.02,N,O,1998-11-24,1993-06-13,1995-07-15,DELIVER IN PERSON,FOB,horrendous
8,34,5,2586,964.00,3042.21,0.02,0.04,A,O,1998-07-05,1998-04-10,1994-07-17,COLLECT COD,TRUCK,fabulous
9,25,2,393,256.00,5149.02,0.04,0.08,A,F,1996-04-25,1995-01-18,1997-12-07,COLLECT COD,FOB,atrocious
10,24,5,739,446.00,5946.98,0.06,0.04,N,P,1998-09-07,1994-04-24,1998-04-10,COLLECT COD,FOB,dreadful
10,33,1,1503,49.00,1880.77,0.05,0.04,A,F,1995-03-16,1994-10-17,1996-02-27,DELIVER IN PERSON,TRUCK,awful
11,77,3,244,143.00,2434.65,0.06,0.02,R,O,1995-09-11,1997-01-27,1998-12-31,DELIVER IN PERSON,MAIL,excellent
11,96,4,2992,904.00,3161.00,0.10,0.03,N,F,1995-01-10,1997-09-27,1993-06-16,DELIVER IN PERSON,MAIL,fabulous
12,94,1,530,681.00,8511.66,0.07,0.02,N,O,1995-12-22,1996-01-24,1995-04-02,DELIVER IN PERSON,FOB,crummy
12,87,3,844,290.00,595.29,0.05,0.05,R,O,1994-11-12,1998-12-28,1994-10-10,DELIVER IN PERSON,REG AIR,excellent
12,57,1,1439,952.00,4975.89,0.00,0.00,N,F,1993-07-24,1995-05-26,1995-11-20,NONE,REG AIR,atrocious
12,62,2,1756,830.00,5420.47,0.00,0.05,N,O,1996-07-01,1998-02-21,1994-02-25,TAKE BACK RETURN,REG AIR,marvelous
12,46,3,1760,142.00,4679.41,0.03,0.06,A,P,1998-09-19,1998-01-15,1998-10-20,TAKE BACK RETURN,FOB,horrible
12,13,4,2554,296.00,2180.55,0.05,0.00,R,F,1997-01-17,1998-04-19,1995-05-30,DELIVER IN PERSON,REG AIR,awful
13,79,1,569,109.00,3782.43,0.04,0.06,N,O,1993-01-23,1998-01-22,1996-10-07,NONE,AIR,superb
13,90,4,2493,874.00,829.16,0.06,0.03,N,O,1993-09-15,1996-12-19,1996-10-19,NONE,SHIP,excellent
14,47,1,131,574.00,2085.98,0.02,0.02,N,F,1994-01-14,1998-01-12,1996-10-31,DELIVER IN PERSON,AIR,fabulous
14,59,3,1799,528.00,7559.73,0.06,0.07,N,O,1995-01-05,1995-09-14,1995-10-16,NONE,TRUCK,crummy
14,30,1,2690,49.00,8426.24,0.07,0.06,N,P,1997-11-11,1993-11-03,1995-11-06,DELIVER IN PERSON,REG AIR,superb
14,88,3,2914,917.00,6546.74,0.05,0.01,N,O,1993-07-04,1995-04-09,1994-01-04,TAKE BACK RETURN,FOB,crummy
15,19,1,61,848.00,3124.41,0.09,0.05,A,F,1994-07-12,1993-04-03,1995-12-22,NONE,MAIL,horrible
15,87,3,440,156.00,8595.88,0.02,0.00,R,O,1996-05-07,1996-11-17,1993-05-21,COLLECT COD,AIR,crummy
15,21,2,492,481.00,7879.65,0.00,0.01,A,P,1995-06-24,1996-01-26,1997-07-04,COLLECT COD,AIR,dreadful
15,77,2,1998,665.00,2302.74,0.01,0.00,R,P,1993-09-12,1995-11-04,1998-09-23,DELIVER IN PERSON,TRUCK,poor
15,98,3,2157,471.00,9923.56,0.07,0.01,A,O,1995-11-19,1996-03-09,1998-04-26,NONE,REG AIR,great
15,40,4,2888,978.00,7572.47,0.03,0.08,N,P,1993-05-15,1995-02-21,1995-08-01,TAKE BACK RETURN,RAIL,wonderful
16,56,5,41,215.00,2545.14,0.02,0.06,N,O,1993-03-21,1993-05-05,1994-12-30,COLLECT COD,RAIL,excellent
16,82,5,254,508.00,9346.83,0.06,0.06,R,F,1996-12-12,1997-06-01,1997-09-16,DELIVER IN PERSON,REG AIR,crummy
16,15,3,279,77.00,1344.03,0.05,0.02,R,O,1996-07-26,1994-09-03,1998-01-04,COLLECT COD,MAIL,poor
16,43,4,544,13.00,6440.08,0.01,0.01,R,F,1996-05-24,1995-02-10,1994-12-03,NONE,AIR,superb
16,53,2,1436,79.00,7379.18,0.06,0.01,A,O,1998-08-09,1997-11-03,1995-04-13,COLLECT COD,REG AIR,superb
16,79,1,2874,130.00,5977.13,0.09,0.05,A,P,1993-06-10,1994-01-23,1996-05-30,DELIVER IN PERSON,MAIL,superb
17,57,4,1610,949.00,7075.91,0.01,0.04,R,P,1996-03-18,1997-09-24,1998-11-17,DELIVER IN PERSON,FOB,crummy
17,20,5,1968,650.00,1604.62,0.06,0.04,R,F,1998-11-30,1998-07-23,1998-09-14,DELIVER IN PERSON,SHIP,lousy
17,56,5,2151,728.00,5307.07,0.07,0.04,A,O,1994-01-29,1997-02-24,1998-01-29,COLLECT COD,REG AIR,poor
17,88,1,2342,990.00,2372.63,0.05,0.01,R,O,1994-04-10,1995-07-27,1996-11-22,TAKE BACK RETURN,TRUCK,good
17,98,2,2489,48.00,1762.66,0.02,0.03,R,P,1993-06-10,1998-04-19,1995-01-22,TAKE BACK RETURN,AIR,fabulous
18,79,1,775,210.00,6609.81,0.05,0.01,A,P,1994-12-10,1996-08-15,1994-12-03,COLLECT COD,AIR,lousy
18,89,3,1145,103.00,570.13,0.05,0.00,R,O,1995-11-18,1996-04-08,1993-01-09,DELIVER IN PERSON,TRUCK,dreadful
18,28,1,2068,715.00,8525.66,0.05,0.08,A,F,1994-08-18,1993-03-01,1994-10-16,TAKE BACK RETURN,FOB,awesome
18,77,2,2145,598.00,3838.71,0.01,0.04,A,P,1995-12-10,1998-12-21,1994-11-18,COLLECT COD,MAIL,marvelous
18,97,3,2214,253.00,293.97,0.02,0.00,A,F,1996-06-10,1996-12-24,1994-06-06,COLLECT COD,FOB,dreadful
18,10,3,2487,42.00,463.76,0.06,0.00,R,F,1993-10-08,1995-09-17,1997-01-21,TAKE BACK RETURN,MAIL,fine
19,18,1,120,44.00,722.09,0.06,0.04,R,F,1994-06-11,1994-11-25,1993-01-29,DELIVER IN PERSON,AIR,excellent
19,43,5,941,213.00,3402.23,0.06,0.03,A,O,1993-02-18,1998-08-03,1994-12-18,COLLECT COD,AIR,atrocious
19,32,5,1178,648.00,6637.43,0.01,0.02,R,P,1993-06-09,1993-04-11,1994-08-07,COLLECT COD,SHIP,dreadful
19,86,5,2279,832.00,3822.49,0.10,0.03,N,F,1995-10-27,1995-07-08,1996-12-13,TAKE BACK RETURN,SHIP,lousy
19,43,2,2813,924.00,3793.88,0.04,0.06,A,F,1997-11-22,1997-06-06,1996-01-26,DELIVER IN PERSON,FOB,excellent
19,47,3,2841,331.00,8456.97,0.10,0.04,R,O,1996-08-05,1998-07-17,1998-10-19,COLLECT COD,RAIL,awesome
