0,TruValue,Main,16,111,3138.31,unreliable
1,TruValue,Turk,6,111,6602.54,unreliable
2,BestPart,Market,7,111,6674.74,honest
3,TruValue,Gough,20,111,7227.74,bad
4,Redkin Inc.,Turk,3,111,5234.66,good
7,Supplier#000000007,s\,4TicNGB4uO6PaSqNBUq,12,33-990-965-2201,6820.35,s unwind silently furiously regular courts. final requests are deposits. requests wake quietly blit
10,Supplier#000000010,Saygah3gYWMp72i PY,24,34-852-489-8585,3891.91,ing waters. regular requests ar
16,Supplier#000000016,YjP5C55zHDXL7LalK27zfQnwejdpin4AMpvh,4,32-822-502-4215,2972.26,ously express ideas haggle quickly dugouts? fu
19,Supplier#000000019,edZT3es\,nBFD8lBXTGeTl,24,34-278-310-2731,6150.38,refully final foxes across the dogged theodolites sleep slyly abou
25,Supplier#000000025,RCQKONXMFnrodzz6w7fObFVV6CUm2q,4,32-431-945-3541,9198.31,ely regular deposits. carefully regular sauternes engage furiously above the regular accounts. idly 
1159,Supplier#000001159,xe9u2TY09V7MTsl\,dC\,kS\,5kdys3Ongi,9,19-658-920-5724,5130.03,ajole regular ideas; special packages above the carefully final deposits are slyly about t
3087,Supplier#000003087,ANwe8QsZ4rgj1HSqVz991eWQ,3,13-939-850-7799,8218.17,pinto beans. fluffily regular deposits against th
3739,Supplier#000003739,\,M7BbUGl58JfQ1N4pL5\,AC5C0wzqPo8ovEHTMQ,2,12-425-404-4099,-750.31,y ironic deposits. furiously special deposits sleep carefully despite the u
3906,Supplier#000003906,742VDBn2PvQRZpqT7I9tlTGDvqg,11,21-239-494-1132,1052.71,y. requests haggle quickly final excuses. special ideas wake a
5398,Supplier#000005398,2Nf6B5RqqNb\,J\,Sjhfc2ui3Z,17,27-138-733-4010,5377.05,bout the fluffily final packages. blithely regular theodolites sleep slyly against t
6268,Supplier#000006268,0YmsNcKHfQgyrIIfNZpQ7D,2,12-940-640-2003,1407.48,es. enticingly unusual re
